Month,Mean Pressure(hPa),Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Relative Humidity(%),Mean Amount of Cloud(%),Total Bright Sunshine(hours),Mean Wind Speed(km/h),Total Rainfall(mm),rain_tmr_mm,rain_tmr_class
2,1016.7,18.3,16.2,13.8,72,13,10.3,16.0,0.0,0.0,0
2,1017.0,19.5,16.4,14.3,69,54,8.3,17.0,0.0,0.0,0
2,1018.8,17.3,14.6,12.3,61,28,8.0,27.0,0.0,0.0,0
2,1019.0,16.7,14.7,13.3,67,27,9.6,33.0,0.0,0.0,0
2,1016.9,17.3,15.6,13.8,78,82,3.9,23.0,0.0,0.0,0
2,1015.2,21.0,18.1,16.2,76,31,10.0,15.0,0.0,0.0,0
2,1014.9,19.3,17.2,15.3,82,41,8.2,19.0,0.0,0.0,0
2,1013.7,20.4,18.0,16.5,81,39,8.7,24.0,0.0,0.0,0
2,1014.5,21.6,19.0,16.4,82,16,9.1,11.0,0.0,0.0,0
2,1019.3,19.4,16.5,15.2,76,57,1.7,33.0,0.0,0.0,0
2,1018.8,17.7,15.8,14.7,68,64,6.7,34.0,0.0,0.0,0
2,1018.4,16.9,15.7,15.1,81,88,0.1,35.0,0.0,0.0,0
2,1015.4,18.2,16.7,15.4,83,88,0.2,27.0,0.0,0.0,0
2,1010.8,22.3,19.7,16.8,92,88,0.0,6.0,0.0,0.7,0
2,1010.8,23.2,19.7,15.5,95,94,0.0,23.0,0.7,1.4,1
2,1014.6,15.6,14.6,13.8,91,95,0.0,41.0,1.4,1.7,1
2,1013.7,16.0,14.9,13.8,94,100,0.0,31.0,1.7,4.1,1
2,1014.4,15.9,15.0,14.3,95,100,0.0,26.0,4.1,0.9,0
2,1017.8,14.7,13.6,12.5,88,100,0.0,23.0,0.9,2.5,1
2,1019.8,13.1,12.1,11.2,82,92,0.0,33.0,2.5,1.2,1
2,1022.1,12.9,11.7,9.7,65,89,0.2,35.0,1.2,0.0,0
2,1021.5,13.1,12.2,11.3,67,93,0.0,23.0,0.0,2.7,1
2,1021.0,14.0,12.2,11.1,90,95,0.0,22.0,2.7,5.4,1
2,1022.5,14.3,12.6,11.2,84,95,0.0,25.0,5.4,12.8,1
3,1021.3,14.4,12.8,11.0,93,98,0.0,22.0,12.8,14.6,1
3,1019.2,16.7,14.9,13.2,93,95,0.6,19.0,14.6,0.0,0
3,1017.6,19.7,17.2,15.2,86,72,3.0,19.0,0.0,0.0,0
3,1014.6,23.7,20.0,17.3,82,48,9.0,15.0,0.0,0.0,0
3,1011.6,25.3,21.0,18.4,82,28,10.3,10.0,0.0,0.0,0
3,1013.4,20.7,18.6,16.8,84,85,1.1,24.0,0.0,0.0,0
3,1015.5,20.2,18.1,16.5,75,58,7.7,31.0,0.0,0.0,0
3,1017.0,18.4,16.9,15.8,77,70,4.4,34.0,0.0,0.0,0
3,1018.6,17.9,16.2,14.8,76,58,8.2,39.0,0.0,0.0,0
3,1016.5,18.3,16.5,15.0,81,78,4.7,32.0,0.0,9.8,1
3,1011.9,19.2,17.9,16.2,89,87,0.0,20.0,9.8,2.1,1
3,1011.9,19.0,17.4,15.4,93,95,0.1,26.0,2.1,1.3,1
3,1014.5,17.9,16.9,15.0,86,92,0.0,26.0,1.3,0.0,0
3,1015.1,19.1,18.0,16.6,86,89,1.0,26.0,0.0,0.0,0
3,1012.7,22.9,19.9,17.4,87,57,5.7,19.0,0.0,0.3,0
3,1011.7,22.9,20.2,17.9,87,85,0.1,14.0,0.3,0.0,0
3,1013.9,18.1,17.1,15.9,70,96,0.1,40.0,0.0,0.0,0
3,1012.8,19.8,18.0,15.7,79,89,0.2,24.0,0.0,0.0,0
3,1013.0,24.6,21.0,19.3,83,89,1.3,17.0,0.0,0.0,0
3,1014.9,21.2,19.3,18.3,73,74,5.8,35.0,0.0,0.0,0
3,1014.4,22.8,20.6,17.9,70,58,6.7,21.0,0.0,0.0,0
3,1013.9,25.1,22.4,20.3,83,21,9.2,8.0,0.0,0.0,0
3,1015.9,25.1,22.2,20.2,81,52,5.7,14.0,0.0,0.0,0
3,1018.9,22.4,20.2,19.0,71,67,5.3,31.0,0.0,0.0,0
3,1020.1,21.8,19.7,18.0,57,61,7.6,34.0,0.0,0.0,0
3,1019.9,22.4,20.2,18.5,66,73,2.1,16.0,0.0,0.0,0
3,1016.3,23.9,20.9,18.4,71,17,7.9,10.0,0.0,0.0,0
3,1014.5,27.7,22.9,19.4,68,22,9.9,6.0,0.0,0.0,0
3,1017.0,25.3,22.6,20.1,67,20,9.9,16.0,0.0,0.0,0
3,1014.8,24.6,21.5,19.2,67,56,6.7,20.0,0.0,0.0,0
3,1009.6,24.8,22.8,21.1,85,86,2.8,14.0,0.0,1.5,1
4,1007.1,27.0,24.1,21.6,87,86,2.7,14.0,1.5,47.9,1
4,1009.5,22.7,21.3,20.7,90,92,0.0,18.0,47.9,124.2,1
4,1009.2,24.8,22.4,20.8,95,93,0.0,24.0,124.2,0.3,0
4,1010.1,21.8,21.0,20.2,93,92,0.0,12.0,0.3,2.3,1
4,1012.4,23.6,21.9,19.7,81,86,1.3,20.0,2.3,0.0,0
4,1015.4,20.7,20.1,19.2,76,89,0.1,45.0,0.0,0.0,0
4,1015.9,21.8,20.7,19.1,79,95,0.4,31.0,0.0,0.0,0
4,1014.6,21.5,21.1,20.5,84,92,0.0,34.0,0.0,0.0,0
4,1013.0,24.4,22.0,19.9,84,77,4.4,20.0,0.0,0.3,0
4,1013.8,26.0,23.2,21.8,86,91,0.7,15.0,0.3,0.0,0
4,1015.4,22.3,21.2,20.7,79,86,2.7,38.0,0.0,0.8,0
4,1012.1,24.2,22.0,20.1,84,90,1.7,14.0,0.8,16.8,1
4,1008.9,23.9,23.1,22.3,93,88,0.0,11.0,16.8,60.8,1
4,1006.7,26.3,24.4,21.7,91,91,0.0,28.0,60.8,2.1,1
4,1012.1,24.9,22.2,20.7,73,83,3.3,29.0,2.1,0.0,0
4,1015.1,24.6,21.3,19.0,62,49,10.0,22.0,0.0,0.0,0
4,1015.3,24.3,21.7,20.0,74,76,7.5,32.0,0.0,0.0,0
4,1013.7,25.4,23.1,21.2,81,76,7.6,23.0,0.0,0.0,0
4,1010.9,28.2,25.1,22.8,85,65,6.7,9.0,0.0,0.0,0
4,1009.0,28.8,26.3,24.7,81,67,10.0,7.0,0.0,0.7,0
4,1009.7,26.8,25.8,24.9,90,85,0.2,7.0,0.7,16.5,1
4,1009.4,28.8,26.4,24.2,85,86,5.8,9.0,16.5,172.5,1
4,1009.2,25.8,23.4,22.7,97,96,0.0,19.0,172.5,1.0,0
4,1008.5,22.8,22.4,21.9,93,96,0.0,28.0,1.0,0.1,0
4,1006.3,30.2,26.3,22.4,85,85,5.8,20.0,0.1,33.3,1
4,1006.7,29.8,26.8,23.8,86,89,0.4,25.0,33.3,1.9,1
4,1010.1,25.9,23.6,21.0,87,88,0.9,24.0,1.9,54.2,1
4,1010.9,21.9,20.7,19.9,94,92,0.0,38.0,54.2,9.9,1
4,1011.7,24.6,22.6,20.9,95,91,0.5,18.0,9.9,0.6,0
4,1010.1,29.1,26.3,23.3,89,87,4.6,10.0,0.6,10.0,1
5,1008.5,30.6,27.6,25.8,85,82,7.9,20.0,10.0,69.1,1
5,1010.1,27.5,24.9,23.9,94,94,0.0,17.0,69.1,5.1,1
5,1012.4,24.3,22.3,20.6,87,92,0.2,30.0,5.1,0.0,0
5,1012.8,25.3,22.7,20.9,80,60,4.3,23.0,0.0,0.0,0
5,1013.0,27.8,24.5,22.3,81,49,6.8,18.0,0.0,0.0,0
5,1012.8,29.1,25.6,23.4,83,43,10.0,11.0,0.0,0.0,0
5,1012.3,27.5,25.5,24.5,82,70,6.8,20.0,0.0,0.0,0
5,1011.2,25.7,24.4,23.6,81,85,1.9,28.0,0.0,0.0,0
5,1008.1,26.9,24.8,23.4,82,90,3.8,24.0,0.0,50.7,1
5,1006.7,24.9,23.5,22.4,95,95,0.0,17.0,50.7,0.6,0
5,1007.0,26.9,24.2,22.8,82,88,3.5,31.0,0.6,0.0,0
5,1006.8,27.4,25.2,23.9,82,89,3.1,28.0,0.0,0.0,0
5,1007.1,29.6,26.2,24.2,79,78,6.2,,0.0,0.0,0
5,1007.9,28.1,26.5,25.2,79,88,3.5,,0.0,0.0,0
5,1007.3,30.3,27.4,25.7,78,56,9.5,,0.0,0.0,0
5,1006.0,31.6,28.0,25.7,71,5,11.7,6.0,0.0,0.0,0
5,1006.5,29.3,26.9,25.7,79,62,6.0,18.0,0.0,0.3,0
5,1007.0,28.4,26.2,24.8,80,80,5.0,21.0,0.3,1.3,1
5,1007.6,25.8,23.4,21.8,80,93,0.0,26.0,1.3,0.0,0
5,1008.1,27.6,25.2,22.6,63,88,0.9,27.0,0.0,0.0,0
5,1009.2,26.6,25.6,24.8,56,88,0.1,24.0,0.0,0.0,0
5,1010.8,28.5,26.0,24.3,71,83,4.1,26.0,0.0,0.0,0
5,1010.3,28.0,25.7,24.5,78,86,1.3,29.0,0.0,29.4,1
5,1008.1,26.0,25.2,24.3,89,92,0.0,34.0,29.4,36.9,1
5,1005.0,30.1,27.3,24.9,85,82,5.4,14.0,36.9,0.0,0
5,1004.7,30.2,28.5,27.2,80,81,4.6,20.0,0.0,0.6,0
5,1006.2,31.1,29.0,27.8,80,82,4.1,18.0,0.6,0.0,0
5,1008.1,31.3,29.2,27.7,80,82,5.6,15.0,0.0,4.3,1
5,1009.0,31.2,28.9,26.9,81,64,9.2,16.0,4.3,0.0,0
5,1008.2,31.2,28.9,27.5,82,61,11.3,18.0,0.0,0.0,0
5,1007.4,32.4,29.6,27.6,75,51,11.7,14.0,0.0,0.0,0
6,1008.6,32.1,29.4,28.0,78,75,7.6,20.0,0.0,0.0,0
6,1010.0,32.3,29.5,28.0,77,58,11.1,17.0,0.0,0.0,0
6,1009.2,32.2,29.6,27.7,74,34,10.6,11.0,0.0,0.0,0
6,1007.5,32.8,29.5,27.2,75,16,12.3,20.0,0.0,0.0,0
6,1006.2,34.2,30.4,28.3,74,18,12.0,29.0,0.0,0.0,0
6,1007.3,32.7,29.9,28.5,76,71,9.7,28.0,0.0,1.3,1
6,1007.9,32.5,29.9,27.7,74,69,10.2,26.0,1.3,3.9,1
6,1007.3,31.8,29.6,27.0,77,83,7.5,27.0,3.9,9.8,1
6,1006.3,30.5,29.4,26.5,79,87,0.1,33.0,9.8,0.0,0
6,1006.1,32.4,30.1,28.9,76,88,7.4,33.0,0.0,0.2,0
6,1004.5,31.5,29.6,28.9,77,88,5.4,36.0,0.2,140.2,1
6,1004.1,29.5,24.9,21.8,89,97,0.0,24.0,140.2,0.4,0
6,1007.2,23.2,22.5,21.8,81,99,0.0,24.0,0.4,0.0,0
6,1007.3,27.6,24.5,22.3,64,88,3.2,31.0,0.0,0.0,0
6,1005.4,29.5,25.9,24.2,66,69,5.7,21.0,0.0,0.0,0
6,1005.1,30.7,26.9,24.2,74,67,10.8,13.0,0.0,57.2,1
6,1005.8,27.2,25.7,24.8,89,94,1.4,32.0,57.2,168.1,1
6,1004.1,26.7,25.7,24.9,96,97,0.0,30.0,168.1,1.7,1
6,1006.4,29.6,27.3,24.7,83,87,3.8,18.0,1.7,31.4,1
6,1008.1,28.0,26.5,24.6,89,92,0.0,11.0,31.4,2.6,1
6,1009.2,30.9,28.4,25.9,81,79,5.6,19.0,2.6,0.0,0
6,1009.1,31.1,29.0,27.7,77,84,7.8,23.0,0.0,22.8,1
6,1007.7,29.7,28.2,25.5,81,85,0.5,28.0,22.8,0.1,0
6,1007.1,31.6,29.1,27.6,77,78,9.7,24.0,0.1,3.4,1
6,1007.8,31.8,28.9,26.1,79,76,9.1,23.0,3.4,0.2,0
6,1008.7,32.0,29.3,27.3,77,57,11.8,18.0,0.2,0.0,0
6,1009.3,32.0,29.4,27.7,79,56,10.2,11.0,0.0,0.0,0
6,1008.1,32.3,29.5,27.5,74,53,9.8,5.0,0.0,0.0,0
6,1006.3,33.0,29.8,27.7,74,31,12.1,14.0,0.0,0.0,0
6,1006.6,33.5,30.0,27.9,72,36,11.7,9.0,0.0,0.0,0
7,1006.7,33.1,30.1,27.9,72,58,11.5,9.0,0.0,14.8,1
7,1005.7,31.7,28.5,26.2,85,85,7.0,24.0,14.8,15.1,1
7,1004.1,31.4,28.6,25.1,82,84,8.6,23.0,15.1,0.0,0
7,1002.0,33.0,29.7,27.6,72,63,9.7,17.0,0.0,0.2,0
7,1001.7,30.5,29.1,27.3,78,85,2.9,15.0,0.2,0.2,0
7,1001.7,30.3,28.2,26.8,79,85,0.0,12.0,0.2,14.7,1
7,1000.2,29.9,27.9,26.3,85,91,2.8,12.0,14.7,5.8,1
7,999.0,30.9,28.6,27.3,79,87,3.8,16.0,5.8,0.0,0
7,999.1,32.2,29.0,26.7,77,61,7.1,17.0,0.0,11.6,1
7,1002.6,32.0,29.2,26.7,78,53,11.0,16.0,11.6,15.7,1
7,1005.9,29.9,28.2,26.3,87,83,5.5,38.0,15.7,21.3,1
7,1008.3,30.9,28.3,26.6,84,81,7.0,27.0,21.3,0.0,0
7,1006.7,31.8,29.2,27.3,78,58,10.7,18.0,0.0,0.3,0
7,1004.3,31.9,29.5,27.7,77,53,10.7,18.0,0.3,2.1,1
7,1002.2,31.9,29.5,27.8,75,69,9.7,35.0,2.1,34.9,1
7,1000.9,30.3,28.1,25.5,83,89,7.9,46.0,34.9,53.8,1
7,1000.1,28.7,27.2,25.6,86,92,0.0,50.0,53.8,50.7,1
7,1000.3,28.4,27.2,24.5,86,91,0.0,38.0,50.7,13.8,1
7,1002.6,28.9,27.8,25.7,85,93,0.0,26.0,13.8,10.3,1
7,1006.6,28.3,26.6,25.1,89,93,0.0,22.0,10.3,33.6,1
7,1009.0,28.6,26.6,25.5,92,89,0.2,16.0,33.6,0.6,0
7,1007.4,31.4,28.4,26.4,81,70,9.9,9.0,0.6,0.0,0
7,1004.7,31.9,28.8,26.5,76,31,11.7,10.0,0.0,0.0,0
7,1004.2,32.6,29.5,27.2,73,41,12.1,17.0,0.0,0.0,0
7,1003.7,32.6,29.9,28.0,73,37,11.9,23.0,0.0,0.0,0
7,1002.9,32.7,30.2,28.4,75,45,12.0,26.0,0.0,0.0,0
7,1001.4,32.1,30.2,28.8,77,77,9.8,29.0,0.0,0.0,0
7,1002.9,33.2,30.3,28.8,74,50,11.5,30.0,0.0,0.0,0
7,1003.7,33.0,30.1,28.5,74,62,9.8,29.0,0.0,0.0,0
7,1004.1,32.6,30.2,28.7,76,60,10.6,30.0,0.0,4.5,1
7,1004.4,32.1,29.7,26.3,80,85,6.5,29.0,4.5,70.0,1
8,1005.4,27.8,26.4,24.3,89,91,0.0,10.0,70.0,31.6,1
8,1005.4,27.7,26.4,24.7,90,89,0.0,7.0,31.6,88.7,1
8,1005.0,28.2,25.9,24.3,92,90,0.0,8.0,88.7,77.8,1
8,1006.0,26.4,25.6,24.5,95,96,0.0,9.0,77.8,6.4,1
8,1007.4,27.9,25.6,24.6,91,89,0.5,9.0,6.4,26.6,1
8,1008.2,29.9,26.5,24.1,87,82,5.7,7.0,26.6,0.0,0
8,1009.0,30.5,28.0,25.9,82,43,8.7,7.0,0.0,0.0,0
8,1009.6,31.4,28.7,26.7,77,44,7.0,6.0,0.0,0.0,0
8,1008.1,32.1,29.2,26.8,77,23,11.9,14.0,0.0,0.0,0
8,1005.0,32.8,29.8,27.6,77,24,11.1,23.0,0.0,0.0,0
8,1003.1,33.3,30.1,28.4,78,45,10.9,29.0,0.0,0.0,0
8,1005.1,32.7,30.0,28.4,77,68,10.3,27.0,0.0,0.0,0
8,1005.7,32.4,30.1,28.6,76,80,7.7,24.0,0.0,0.3,0
8,1005.2,33.2,29.9,28.6,78,82,7.6,18.0,0.3,3.5,1
8,1005.1,31.1,29.5,28.0,80,84,6.0,19.0,3.5,8.2,1
8,1005.2,31.3,29.2,26.2,80,88,3.6,22.0,8.2,0.0,0
8,1007.3,32.1,29.6,28.1,76,76,10.1,10.0,0.0,0.0,0
8,1008.6,32.1,29.3,28.0,80,58,6.5,5.0,0.0,0.0,0
8,1006.5,32.7,29.7,27.3,78,31,11.8,6.0,0.0,0.0,0
8,1004.9,32.7,30.0,28.2,77,37,11.3,12.0,0.0,3.6,1
8,1004.6,31.9,29.8,27.5,78,61,11.6,29.0,3.6,0.0,0
8,1003.9,32.3,30.0,28.2,72,47,10.8,21.0,0.0,5.9,1
8,999.4,31.4,29.1,26.2,77,87,1.6,35.0,5.9,153.2,1
8,1001.4,29.3,28.0,24.9,85,91,0.0,34.0,153.2,25.4,1
8,1004.2,29.9,28.6,25.8,82,87,1.0,19.0,25.4,54.0,1
8,1004.0,28.7,26.7,25.7,92,91,0.0,11.0,54.0,24.3,1
8,1002.3,28.4,26.4,24.3,93,89,0.0,6.0,24.3,0.0,0
8,1001.3,30.0,27.7,26.3,81,84,3.1,28.0,0.0,0.5,0
8,999.0,33.0,29.9,26.8,68,67,9.4,18.0,0.5,0.0,0
8,997.4,32.3,29.7,28.1,73,82,5.8,11.0,0.0,20.7,1
8,996.7,30.8,28.5,26.9,82,90,2.4,26.0,20.7,50.8,1
9,998.9,30.3,28.0,24.6,85,96,0.0,42.0,50.8,93.9,1
9,1004.9,29.2,27.1,24.7,91,92,0.0,20.0,93.9,0.3,0
9,1007.0,29.2,27.8,26.6,87,77,7.7,15.0,0.3,0.0,0
9,1006.1,31.2,28.6,26.5,81,54,10.1,10.0,0.0,0.0,0
9,1003.2,32.2,29.2,26.9,77,70,6.0,7.0,0.0,0.0,0
9,1003.8,30.9,28.9,27.0,75,70,9.6,25.0,0.0,0.0,0
9,1005.7,30.8,28.6,27.1,68,64,6.4,36.0,0.0,1.7,1
9,1007.1,28.6,27.5,25.0,73,88,1.7,60.0,1.7,0.8,0
9,1008.6,29.1,27.5,25.6,72,77,7.7,36.0,0.8,0.0,0
9,1007.2,29.9,27.2,24.8,67,60,8.9,16.0,0.0,0.0,0
9,1006.0,30.4,27.7,25.1,63,30,8.1,16.0,0.0,0.0,0
9,1007.0,30.3,27.7,25.0,57,26,10.2,27.0,0.0,0.0,0
9,1005.9,30.5,27.4,24.8,50,4,10.7,31.0,0.0,0.0,0
9,1004.2,30.7,27.2,23.9,43,2,10.9,31.0,0.0,0.0,0
9,1005.1,30.1,27.5,25.0,39,3,10.7,28.0,0.0,0.0,0
9,1009.2,29.9,27.1,24.8,54,20,10.1,17.0,0.0,0.0,0
9,1011.1,29.6,27.3,25.9,75,69,4.7,12.0,0.0,0.0,0
9,1011.9,29.3,27.3,25.8,74,73,6.9,25.0,0.0,0.0,0
9,1012.9,28.9,27.2,25.8,68,78,7.4,31.0,0.0,4.5,1
9,1013.9,27.2,26.3,23.9,78,88,0.9,32.0,4.5,0.6,0
9,1015.1,29.0,27.3,25.7,78,79,7.2,33.0,0.6,0.0,0
9,1014.9,29.6,27.5,26.0,77,67,8.3,26.0,0.0,0.0,0
9,1013.5,30.2,27.8,26.4,79,79,7.9,14.0,0.0,0.0,0
9,1011.7,29.3,27.4,26.1,80,82,4.1,11.0,0.0,0.0,0
9,1011.2,30.0,27.7,26.3,80,61,7.6,11.0,0.0,0.0,0
9,1011.9,29.9,27.9,26.6,78,73,7.8,17.0,0.0,0.0,0
9,1012.3,29.2,27.7,26.7,78,76,9.2,25.0,0.0,0.0,0
9,1012.6,29.7,27.9,26.8,80,68,8.9,23.0,0.0,0.0,0
9,1013.0,30.9,28.2,26.8,80,52,8.3,11.0,0.0,0.0,0
9,1014.0,30.6,28.3,26.7,78,41,9.2,9.0,0.0,0.0,0
10,1014.3,30.5,28.2,26.6,77,30,8.2,9.0,0.0,0.0,0
10,1012.4,31.2,28.3,26.6,73,29,8.2,10.0,0.0,0.0,0
10,1010.8,31.0,28.3,26.6,72,44,9.8,12.0,0.0,0.0,0
10,1011.1,30.0,28.1,26.8,77,68,5.4,10.0,0.0,4.7,1
10,1012.3,29.3,27.5,25.8,84,74,7.7,24.0,4.7,1.0,0
10,1012.6,29.4,27.9,26.1,82,79,6.7,20.0,1.0,0.8,0
10,1011.7,30.0,27.8,26.0,81,76,6.2,20.0,0.8,4.0,1
10,1009.7,29.7,27.8,25.4,81,54,9.2,20.0,4.0,0.0,0
10,1009.7,29.4,27.9,26.9,74,58,9.4,35.0,0.0,0.0,0
10,1009.8,30.0,28.1,26.2,70,42,10.0,41.0,0.0,0.6,0
10,1009.4,30.1,28.2,26.9,76,81,5.7,44.0,0.6,3.9,1
10,1008.7,29.0,27.4,25.4,74,93,0.2,59.0,3.9,5.0,1
10,1008.4,26.8,24.3,22.1,77,98,0.0,66.0,5.0,4.9,1
10,1010.8,23.6,22.5,21.2,83,95,0.0,64.0,4.9,0.0,0
10,1014.7,24.9,23.7,22.3,75,90,0.0,47.0,0.0,0.1,0
10,1015.2,27.0,24.8,22.1,71,63,6.5,32.0,0.1,0.0,0
10,1012.7,28.0,25.3,22.6,69,63,6.8,22.0,0.0,0.0,0
10,1011.5,26.2,25.1,23.1,77,89,0.2,55.0,0.0,17.8,1
10,1011.6,25.4,24.1,22.1,86,91,0.0,47.0,17.8,116.0,1
10,1011.4,25.0,24.1,23.6,94,99,0.0,48.0,116.0,27.6,1
10,1011.3,25.4,24.5,23.6,94,95,0.0,36.0,27.6,10.7,1
10,1010.8,28.3,26.6,24.7,92,87,5.4,13.0,10.7,5.1,1
10,1011.2,28.3,26.5,25.5,91,76,6.3,15.0,5.1,0.0,0
10,1012.8,30.2,27.6,25.5,83,49,8.9,5.0,0.0,1.9,1
10,1014.0,29.1,27.3,25.0,79,69,7.4,12.0,1.9,0.0,0
10,1015.1,27.7,26.6,25.6,80,79,5.1,36.0,0.0,0.0,0
10,1016.4,26.7,25.6,24.8,79,84,5.6,38.0,0.0,0.0,0
10,1015.2,26.3,25.1,24.1,75,78,0.7,26.0,0.0,0.0,0
10,1013.4,25.2,23.1,20.5,65,27,9.2,46.0,0.0,0.0,0
10,1011.4,23.3,21.1,18.7,53,49,8.9,36.0,0.0,0.0,0
10,1009.6,23.9,21.4,18.9,52,61,7.8,41.0,0.0,0.0,0
11,1013.3,23.3,20.7,18.6,47,27,10.2,50.0,0.0,0.0,0
11,1017.3,23.7,19.9,16.9,50,10,10.1,29.0,0.0,0.0,0
11,1016.8,23.9,21.5,18.6,57,33,7.9,19.0,0.0,0.0,0
11,1015.6,23.3,22.2,20.9,58,85,0.0,19.0,0.0,0.0,0
11,1011.7,25.8,23.5,21.4,67,74,2.9,18.0,0.0,0.1,0
11,1009.9,25.0,23.7,22.8,76,88,0.0,15.0,0.1,23.5,1
11,1010.3,24.1,23.2,22.2,89,95,0.0,32.0,23.5,3.1,1
11,1011.6,24.8,24.0,23.3,90,91,0.3,33.0,3.1,0.0,0
11,1013.7,23.9,23.0,22.1,82,89,1.4,45.0,0.0,0.4,0
11,1017.8,25.7,23.7,22.2,78,74,7.8,26.0,0.4,13.7,1
11,1018.9,23.6,21.0,17.2,81,90,0.1,30.0,13.7,44.1,1
11,1019.4,17.5,15.7,14.9,91,92,0.0,34.0,44.1,0.0,0
11,1017.8,20.6,18.1,15.1,79,73,2.2,23.0,0.0,0.0,0
11,1016.1,24.3,22.1,19.5,74,45,8.7,16.0,0.0,0.0,0
11,1016.3,26.5,24.1,22.0,75,74,7.1,16.0,0.0,9.6,1
11,1017.6,23.2,21.2,19.3,80,88,2.4,31.0,9.6,0.0,0
11,1018.8,20.7,19.5,18.5,72,88,0.0,33.0,0.0,0.0,0
11,1018.4,21.2,19.9,18.3,76,88,0.9,38.0,0.0,0.0,0
11,1016.2,22.5,21.3,19.9,78,88,0.2,27.0,0.0,0.0,0
11,1018.3,21.5,17.7,14.7,66,85,4.5,42.0,0.0,0.0,0
11,1020.5,17.7,15.8,14.1,56,70,0.4,28.0,0.0,0.0,0
11,1020.4,19.9,17.6,14.7,64,7,10.1,19.0,0.0,0.0,0
11,1019.5,21.6,19.7,17.6,75,33,9.9,24.0,0.0,0.0,0
11,1017.2,22.1,21.0,19.9,78,82,1.7,31.0,0.0,0.0,0
11,1016.3,23.6,21.7,20.5,80,46,7.0,28.0,0.0,2.3,1
11,1017.1,24.3,22.3,20.5,81,69,2.5,17.0,2.3,0.0,0
11,1018.0,24.3,22.5,21.4,84,67,5.3,25.0,0.0,0.0,0
11,1018.5,22.4,21.4,20.5,80,88,0.7,44.0,0.0,0.0,0
11,1018.4,22.2,21.0,19.9,77,69,5.9,36.0,0.0,0.0,0
11,1016.6,22.9,21.3,19.7,80,36,9.4,18.0,0.0,0.0,0
