Date,Month,Mean Pressure(hPa),Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Dew Point(deg. C),Mean Relative Humidity(%),Mean Amount of Cloud(%),Total Bright Sunshine(hours),Prevailling Wind Direction(degrees),PWD_missing,Mean Wind Speed(km/h),MWS_missing,Total Rainfall(mm)
2000-03-04,3,1014.6,23.7,20.0,17.3,16.8,82,48,9.0,40.0,False,15.0,False,0.0
2000-03-05,3,1011.6,25.3,21.0,18.4,17.7,82,28,10.3,30.0,False,10.0,False,0.0
2000-03-06,3,1013.4,20.7,18.6,16.8,15.8,84,85,1.1,60.0,False,24.0,False,0.0
2000-03-07,3,1015.5,20.2,18.1,16.5,13.4,75,58,7.7,50.0,False,31.0,False,0.0
2000-03-08,3,1017.0,18.4,16.9,15.8,12.8,77,70,4.4,60.0,False,34.0,False,0.0
2000-03-09,3,1018.6,17.9,16.2,14.8,11.9,76,58,8.2,50.0,False,39.0,False,0.0
2000-03-10,3,1016.5,18.3,16.5,15.0,13.2,81,78,4.7,50.0,False,32.0,False,0.05
2000-03-11,3,1011.9,19.2,17.9,16.2,16.0,89,87,0.0,40.0,False,20.0,False,9.8
2000-03-12,3,1011.9,19.0,17.4,15.4,16.2,93,95,0.1,50.0,False,26.0,False,2.1
2000-03-13,3,1014.5,17.9,16.9,15.0,14.5,86,92,0.0,40.0,False,26.0,False,1.3
2000-03-14,3,1015.1,19.1,18.0,16.6,15.6,86,89,1.0,30.0,False,26.0,False,0.05
2000-03-15,3,1012.7,22.9,19.9,17.4,17.7,87,57,5.7,40.0,True,19.0,True,0.0
2000-03-16,3,1011.7,22.9,20.2,17.9,17.9,87,85,0.1,30.0,False,14.0,False,0.3
2000-03-17,3,1013.9,18.1,17.1,15.9,11.4,70,96,0.1,60.0,False,40.0,False,0.05
2000-03-18,3,1012.8,19.8,18.0,15.7,14.2,79,89,0.2,30.0,False,24.0,False,0.05
2000-03-19,3,1013.0,24.6,21.0,19.3,17.9,83,89,1.3,30.0,False,17.0,False,0.05
2000-03-20,3,1014.9,21.2,19.3,18.3,14.2,73,74,5.8,50.0,False,35.0,False,0.05
2000-03-21,3,1014.4,22.8,20.6,17.9,14.8,70,58,6.7,50.0,False,21.0,False,0.0
2000-03-22,3,1013.9,25.1,22.4,20.3,19.4,83,21,9.2,30.0,False,8.0,False,0.0
2000-03-23,3,1015.9,25.1,22.2,20.2,18.7,81,52,5.7,40.0,False,14.0,False,0.0
2000-03-24,3,1018.9,22.4,20.2,19.0,14.8,71,67,5.3,10.0,True,31.0,True,0.0
2000-03-25,3,1020.1,21.8,19.7,18.0,10.8,57,61,7.6,70.0,True,34.0,True,0.0
2000-03-26,3,1019.9,22.4,20.2,18.5,13.7,66,73,2.1,50.0,True,16.0,True,0.0
2000-03-27,3,1016.3,23.9,20.9,18.4,15.4,71,17,7.9,20.0,False,10.0,False,0.0
2000-03-28,3,1014.5,27.7,22.9,19.4,16.3,68,22,9.9,280.0,False,6.0,False,0.0
2000-03-29,3,1017.0,25.3,22.6,20.1,16.0,67,20,9.9,50.0,False,16.0,False,0.0
2000-03-30,3,1014.8,24.6,21.5,19.2,14.8,67,56,6.7,40.0,False,20.0,False,0.0
2000-03-31,3,1009.6,24.8,22.8,21.1,20.1,85,86,2.8,40.0,False,14.0,False,0.05
2000-04-01,4,1007.1,27.0,24.1,21.6,21.7,87,86,2.7,140.0,False,14.0,False,1.5
2000-04-02,4,1009.5,22.7,21.3,20.7,19.6,90,92,0.0,40.0,False,18.0,False,47.9
2000-04-03,4,1009.2,24.8,22.4,20.8,21.5,95,93,0.0,60.0,False,24.0,False,124.2
2000-04-04,4,1010.1,21.8,21.0,20.2,19.8,93,92,0.0,40.0,False,12.0,False,0.3
2000-04-05,4,1012.4,23.6,21.9,19.7,18.5,81,86,1.3,20.0,False,20.0,False,2.3
2000-04-06,4,1015.4,20.7,20.1,19.2,15.6,76,89,0.1,70.0,False,45.0,False,0.05
2000-04-07,4,1015.9,21.8,20.7,19.1,16.8,79,95,0.4,70.0,False,31.0,False,0.05
2000-04-08,4,1014.6,21.5,21.1,20.5,18.3,84,92,0.0,80.0,False,34.0,False,0.05
2000-04-09,4,1013.0,24.4,22.0,19.9,19.1,84,77,4.4,40.0,False,20.0,False,0.05
2000-04-10,4,1013.8,26.0,23.2,21.8,20.7,86,91,0.7,20.0,False,15.0,False,0.3
2000-04-11,4,1015.4,22.3,21.2,20.7,17.4,79,86,2.7,70.0,False,38.0,False,0.05
2000-04-12,4,1012.1,24.2,22.0,20.1,19.2,84,90,1.7,50.0,False,14.0,False,0.8
2000-04-13,4,1008.9,23.9,23.1,22.3,21.9,93,88,0.0,40.0,False,11.0,False,16.8
2000-04-14,4,1006.7,26.3,24.4,21.7,22.7,91,91,0.0,230.0,False,28.0,False,60.8
2000-04-15,4,1012.1,24.9,22.2,20.7,17.0,73,83,3.3,10.0,False,29.0,False,2.1
2000-04-16,4,1015.1,24.6,21.3,19.0,13.5,62,49,10.0,90.0,False,22.0,False,0.0
2000-04-17,4,1015.3,24.3,21.7,20.0,16.8,74,76,7.5,70.0,False,32.0,False,0.0
2000-04-18,4,1013.7,25.4,23.1,21.2,19.6,81,76,7.6,50.0,False,23.0,False,0.0
2000-04-19,4,1010.9,28.2,25.1,22.8,22.3,85,65,6.7,30.0,True,9.0,True,0.05
2000-04-20,4,1009.0,28.8,26.3,24.7,22.8,81,67,10.0,230.0,False,7.0,False,0.0
2000-04-21,4,1009.7,26.8,25.8,24.9,24.0,90,85,0.2,240.0,False,7.0,False,0.7
2000-04-22,4,1009.4,28.8,26.4,24.2,23.6,85,86,5.8,230.0,False,9.0,False,16.5
2000-04-23,4,1009.2,25.8,23.4,22.7,22.9,97,96,0.0,70.0,False,19.0,False,172.5
2000-04-24,4,1008.5,22.8,22.4,21.9,21.2,93,96,0.0,60.0,False,28.0,False,1.0
2000-04-25,4,1006.3,30.2,26.3,22.4,23.5,85,85,5.8,220.0,False,20.0,False,0.1
2000-04-26,4,1006.7,29.8,26.8,23.8,24.2,86,89,0.4,220.0,False,25.0,False,33.3
2000-04-27,4,1010.1,25.9,23.6,21.0,21.3,87,88,0.9,60.0,False,24.0,False,1.9
2000-04-28,4,1010.9,21.9,20.7,19.9,19.7,94,92,0.0,60.0,False,38.0,False,54.2
2000-04-29,4,1011.7,24.6,22.6,20.9,21.7,95,91,0.5,30.0,False,18.0,False,9.9
2000-04-30,4,1010.1,29.1,26.3,23.3,24.1,89,87,4.6,30.0,False,10.0,False,0.6
2000-05-01,5,1008.5,30.6,27.6,25.8,24.9,85,82,7.9,230.0,False,20.0,False,10.0
2000-05-02,5,1010.1,27.5,24.9,23.9,23.9,94,94,0.0,90.0,False,17.0,False,69.1
2000-05-03,5,1012.4,24.3,22.3,20.6,19.9,87,92,0.2,60.0,False,30.0,False,5.1
2000-05-04,5,1012.8,25.3,22.7,20.9,18.9,80,60,4.3,60.0,False,23.0,False,0.0
2000-05-05,5,1013.0,27.8,24.5,22.3,21.1,81,49,6.8,90.0,False,18.0,False,0.0
2000-05-06,5,1012.8,29.1,25.6,23.4,22.5,83,43,10.0,30.0,False,11.0,False,0.0
2000-05-07,5,1012.3,27.5,25.5,24.5,22.1,82,70,6.8,90.0,False,20.0,False,0.0
2000-05-08,5,1011.2,25.7,24.4,23.6,21.0,81,85,1.9,70.0,False,28.0,False,0.0
2000-05-09,5,1008.1,26.9,24.8,23.4,21.5,82,90,3.8,70.0,False,24.0,False,0.0
2000-05-10,5,1006.7,24.9,23.5,22.4,22.7,95,95,0.0,20.0,False,17.0,False,50.7
2000-05-11,5,1007.0,26.9,24.2,22.8,20.9,82,88,3.5,70.0,False,31.0,False,0.6
2000-05-12,5,1006.8,27.4,25.2,23.9,21.9,82,89,3.1,70.0,True,28.0,True,0.05
2000-05-13,5,1007.1,29.6,26.2,24.2,22.2,79,78,6.2,,True,,False,0.0
2000-05-14,5,1007.9,28.1,26.5,25.2,22.6,79,88,3.5,,True,,False,0.0
2000-05-15,5,1007.3,30.3,27.4,25.7,23.0,78,56,9.5,,True,,False,0.0
2000-05-16,5,1006.0,31.6,28.0,25.7,22.1,71,5,11.7,210.0,True,6.0,True,0.0
2000-05-17,5,1006.5,29.3,26.9,25.7,22.9,79,62,6.0,90.0,False,18.0,False,0.05
2000-05-18,5,1007.0,28.4,26.2,24.8,22.5,80,80,5.0,80.0,False,21.0,False,0.3
2000-05-19,5,1007.6,25.8,23.4,21.8,19.8,80,93,0.0,10.0,False,26.0,False,1.3
2000-05-20,5,1008.1,27.6,25.2,22.6,17.3,63,88,0.9,70.0,False,27.0,False,0.05
2000-05-21,5,1009.2,26.6,25.6,24.8,16.2,56,88,0.1,50.0,False,24.0,False,0.0
2000-05-22,5,1010.8,28.5,26.0,24.3,20.2,71,83,4.1,80.0,False,26.0,False,0.05
2000-05-23,5,1010.3,28.0,25.7,24.5,21.6,78,86,1.3,70.0,False,29.0,False,0.0
2000-05-24,5,1008.1,26.0,25.2,24.3,23.2,89,92,0.0,80.0,False,34.0,False,29.4
2000-05-25,5,1005.0,30.1,27.3,24.9,24.5,85,82,5.4,200.0,False,14.0,False,36.9
2000-05-26,5,1004.7,30.2,28.5,27.2,24.8,80,81,4.6,200.0,False,20.0,False,0.05
2000-05-27,5,1006.2,31.1,29.0,27.8,25.2,80,82,4.1,210.0,False,18.0,False,0.6
2000-05-28,5,1008.1,31.3,29.2,27.7,25.3,80,82,5.6,200.0,False,15.0,False,0.05
2000-05-29,5,1009.0,31.2,28.9,26.9,25.3,81,64,9.2,130.0,False,16.0,False,4.3
2000-05-30,5,1008.2,31.2,28.9,27.5,25.5,82,61,11.3,100.0,False,18.0,False,0.05
2000-05-31,5,1007.4,32.4,29.6,27.6,24.6,75,51,11.7,140.0,False,14.0,False,0.05
2000-06-01,6,1008.6,32.1,29.4,28.0,25.2,78,75,7.6,130.0,False,20.0,False,0.05
2000-06-02,6,1010.0,32.3,29.5,28.0,25.1,77,58,11.1,120.0,True,17.0,True,0.05
2000-06-03,6,1009.2,32.2,29.6,27.7,24.5,74,34,10.6,110.0,False,11.0,False,0.0
2000-06-04,6,1007.5,32.8,29.5,27.2,24.5,75,16,12.3,230.0,False,20.0,False,0.0
2000-06-05,6,1006.2,34.2,30.4,28.3,25.1,74,18,12.0,230.0,False,29.0,False,0.0
2000-06-06,6,1007.3,32.7,29.9,28.5,25.2,76,71,9.7,230.0,False,28.0,False,0.0
2000-06-07,6,1007.9,32.5,29.9,27.7,24.7,74,69,10.2,220.0,False,26.0,False,1.3
2000-06-08,6,1007.3,31.8,29.6,27.0,25.2,77,83,7.5,220.0,False,27.0,False,3.9
2000-06-09,6,1006.3,30.5,29.4,26.5,25.4,79,87,0.1,210.0,False,33.0,False,9.8
2000-06-10,6,1006.1,32.4,30.1,28.9,25.3,76,88,7.4,210.0,False,33.0,False,0.05
2000-06-11,6,1004.5,31.5,29.6,28.9,25.1,77,88,5.4,220.0,False,36.0,False,0.2
2000-06-12,6,1004.1,29.5,24.9,21.8,22.9,89,97,0.0,360.0,False,24.0,False,140.2
2000-06-13,6,1007.2,23.2,22.5,21.8,19.1,81,99,0.0,10.0,False,24.0,False,0.4
2000-06-14,6,1007.3,27.6,24.5,22.3,17.3,64,88,3.2,60.0,False,31.0,False,0.05
2000-06-15,6,1005.4,29.5,25.9,24.2,18.8,66,69,5.7,60.0,True,21.0,False,0.0
2000-06-16,6,1005.1,30.7,26.9,24.2,21.7,74,67,10.8,100.0,False,13.0,False,0.0
2000-06-17,6,1005.8,27.2,25.7,24.8,23.6,89,94,1.4,40.0,False,32.0,False,57.2
2000-06-18,6,1004.1,26.7,25.7,24.9,24.9,96,97,0.0,50.0,False,30.0,False,168.1
2000-06-19,6,1006.4,29.6,27.3,24.7,24.0,83,87,3.8,220.0,False,18.0,False,1.7
2000-06-20,6,1008.1,28.0,26.5,24.6,24.6,89,92,0.0,200.0,False,11.0,False,31.4
2000-06-21,6,1009.2,30.9,28.4,25.9,24.8,81,79,5.6,180.0,False,19.0,False,2.6
2000-06-22,6,1009.1,31.1,29.0,27.7,24.5,77,84,7.8,200.0,False,23.0,False,0.05
2000-06-23,6,1007.7,29.7,28.2,25.5,24.5,81,85,0.5,200.0,False,28.0,False,22.8
2000-06-24,6,1007.1,31.6,29.1,27.6,24.6,77,78,9.7,180.0,False,24.0,False,0.1
2000-06-25,6,1007.8,31.8,28.9,26.1,24.9,79,76,9.1,150.0,False,23.0,False,3.4
2000-06-26,6,1008.7,32.0,29.3,27.3,24.9,77,57,11.8,140.0,False,18.0,False,0.2
2000-06-27,6,1009.3,32.0,29.4,27.7,25.2,79,56,10.2,130.0,False,11.0,False,0.0
2000-06-28,6,1008.1,32.3,29.5,27.5,24.3,74,53,9.8,220.0,False,5.0,False,0.0
2000-06-29,6,1006.3,33.0,29.8,27.7,24.5,74,31,12.1,230.0,True,14.0,True,0.0
2000-06-30,6,1006.6,33.5,30.0,27.9,24.3,72,36,11.7,230.0,False,9.0,False,0.0
2000-07-01,7,1006.7,33.1,30.1,27.9,24.2,72,58,11.5,70.0,False,9.0,False,0.0
2000-07-02,7,1005.7,31.7,28.5,26.2,25.7,85,85,7.0,90.0,False,24.0,False,14.8
2000-07-03,7,1004.1,31.4,28.6,25.1,25.2,82,84,8.6,80.0,False,23.0,False,15.1
2000-07-04,7,1002.0,33.0,29.7,27.6,23.9,72,63,9.7,50.0,False,17.0,False,0.0
2000-07-05,7,1001.7,30.5,29.1,27.3,24.8,78,85,2.9,70.0,False,15.0,False,0.2
2000-07-06,7,1001.7,30.3,28.2,26.8,24.1,79,85,0.0,220.0,False,12.0,False,0.2
2000-07-07,7,1000.2,29.9,27.9,26.3,25.1,85,91,2.8,120.0,False,12.0,False,14.7
2000-07-08,7,999.0,30.9,28.6,27.3,24.5,79,87,3.8,230.0,False,16.0,False,5.8
2000-07-09,7,999.1,32.2,29.0,26.7,24.5,77,61,7.1,210.0,False,17.0,False,0.05
2000-07-10,7,1002.6,32.0,29.2,26.7,24.9,78,53,11.0,90.0,False,16.0,False,11.6
2000-07-11,7,1005.9,29.9,28.2,26.3,25.7,87,83,5.5,110.0,False,38.0,False,15.7
2000-07-12,7,1008.3,30.9,28.3,26.6,25.4,84,81,7.0,100.0,False,27.0,False,21.3
2000-07-13,7,1006.7,31.8,29.2,27.3,24.8,78,58,10.7,90.0,False,18.0,False,0.0
2000-07-14,7,1004.3,31.9,29.5,27.7,25.0,77,53,10.7,80.0,False,18.0,False,0.3
2000-07-15,7,1002.2,31.9,29.5,27.8,24.6,75,69,9.7,70.0,False,35.0,False,2.1
2000-07-16,7,1000.9,30.3,28.1,25.5,25.0,83,89,7.9,80.0,False,46.0,False,34.9
2000-07-17,7,1000.1,28.7,27.2,25.6,24.6,86,92,0.0,160.0,False,50.0,False,53.8
2000-07-18,7,1000.3,28.4,27.2,24.5,24.5,86,91,0.0,200.0,False,38.0,False,50.7
2000-07-19,7,1002.6,28.9,27.8,25.7,25.0,85,93,0.0,180.0,False,26.0,False,13.8
2000-07-20,7,1006.6,28.3,26.6,25.1,24.6,89,93,0.0,140.0,False,22.0,False,10.3
2000-07-21,7,1009.0,28.6,26.6,25.5,25.2,92,89,0.2,120.0,False,16.0,False,33.6
2000-07-22,7,1007.4,31.4,28.4,26.4,24.7,81,70,9.9,120.0,False,9.0,False,0.6
2000-07-23,7,1004.7,31.9,28.8,26.5,24.1,76,31,11.7,220.0,False,10.0,False,0.0
2000-07-24,7,1004.2,32.6,29.5,27.2,23.9,73,41,12.1,230.0,False,17.0,False,0.0
2000-07-25,7,1003.7,32.6,29.9,28.0,24.5,73,37,11.9,230.0,False,23.0,False,0.05
2000-07-26,7,1002.9,32.7,30.2,28.4,25.2,75,45,12.0,240.0,False,26.0,False,0.0
2000-07-27,7,1001.4,32.1,30.2,28.8,25.6,77,77,9.8,240.0,False,29.0,False,0.0
2000-07-28,7,1002.9,33.2,30.3,28.8,25.2,74,50,11.5,240.0,False,30.0,False,0.0
2000-07-29,7,1003.7,33.0,30.1,28.5,25.0,74,62,9.8,230.0,False,29.0,False,0.0
2000-07-30,7,1004.1,32.6,30.2,28.7,25.4,76,60,10.6,240.0,False,30.0,False,0.05
2000-07-31,7,1004.4,32.1,29.7,26.3,25.8,80,85,6.5,240.0,False,29.0,False,4.5
2000-08-01,8,1005.4,27.8,26.4,24.3,24.4,89,91,0.0,250.0,False,10.0,False,70.0
2000-08-02,8,1005.4,27.7,26.4,24.7,24.6,90,89,0.0,220.0,False,7.0,False,31.6
2000-08-03,8,1005.0,28.2,25.9,24.3,24.4,92,90,0.0,30.0,False,8.0,False,88.7
2000-08-04,8,1006.0,26.4,25.6,24.5,24.7,95,96,0.0,10.0,False,9.0,False,77.8
2000-08-05,8,1007.4,27.9,25.6,24.6,24.1,91,89,0.5,20.0,False,9.0,False,6.4
2000-08-06,8,1008.2,29.9,26.5,24.1,24.1,87,82,5.7,30.0,False,7.0,False,26.6
2000-08-07,8,1009.0,30.5,28.0,25.9,24.7,82,43,8.7,30.0,False,7.0,False,0.05
2000-08-08,8,1009.6,31.4,28.7,26.7,24.2,77,44,7.0,230.0,False,6.0,False,0.0
2000-08-09,8,1008.1,32.1,29.2,26.8,24.7,77,23,11.9,230.0,False,14.0,False,0.0
2000-08-10,8,1005.0,32.8,29.8,27.6,25.2,77,24,11.1,240.0,False,23.0,False,0.0
2000-08-11,8,1003.1,33.3,30.1,28.4,25.8,78,45,10.9,230.0,False,29.0,False,0.0
2000-08-12,8,1005.1,32.7,30.0,28.4,25.5,77,68,10.3,230.0,False,27.0,False,0.05
2000-08-13,8,1005.7,32.4,30.1,28.6,25.3,76,80,7.7,230.0,False,24.0,False,0.0
2000-08-14,8,1005.2,33.2,29.9,28.6,25.6,78,82,7.6,230.0,False,18.0,False,0.3
2000-08-15,8,1005.1,31.1,29.5,28.0,25.7,80,84,6.0,230.0,False,19.0,False,3.5
2000-08-16,8,1005.2,31.3,29.2,26.2,25.3,80,88,3.6,220.0,False,22.0,False,8.2
2000-08-17,8,1007.3,32.1,29.6,28.1,24.9,76,76,10.1,190.0,False,10.0,False,0.0
2000-08-18,8,1008.6,32.1,29.3,28.0,25.5,80,58,6.5,120.0,False,5.0,False,0.05
2000-08-19,8,1006.5,32.7,29.7,27.3,25.4,78,31,11.8,110.0,False,6.0,False,0.0
2000-08-20,8,1004.9,32.7,30.0,28.2,25.5,77,37,11.3,90.0,False,12.0,False,0.0
2000-08-21,8,1004.6,31.9,29.8,27.5,25.4,78,61,11.6,90.0,False,29.0,False,3.6
2000-08-22,8,1003.9,32.3,30.0,28.2,24.4,72,47,10.8,80.0,False,21.0,False,0.0
2000-08-23,8,999.4,31.4,29.1,26.2,24.6,77,87,1.6,260.0,False,35.0,False,5.9
2000-08-24,8,1001.4,29.3,28.0,24.9,25.2,85,91,0.0,220.0,True,34.0,True,153.2
2000-08-25,8,1004.2,29.9,28.6,25.8,25.1,82,87,1.0,220.0,False,19.0,False,25.4
2000-08-26,8,1004.0,28.7,26.7,25.7,25.2,92,91,0.0,230.0,False,11.0,False,54.0
2000-08-27,8,1002.3,28.4,26.4,24.3,25.2,93,89,0.0,60.0,False,6.0,False,24.3
2000-08-28,8,1001.3,30.0,27.7,26.3,24.2,81,84,3.1,60.0,False,28.0,False,0.05
2000-08-29,8,999.0,33.0,29.9,26.8,23.2,68,67,9.4,10.0,False,18.0,False,0.5
2000-08-30,8,997.4,32.3,29.7,28.1,24.1,73,82,5.8,10.0,False,11.0,False,0.0
2000-08-31,8,996.7,30.8,28.5,26.9,25.1,82,90,2.4,20.0,False,26.0,False,20.7
2000-09-01,9,998.9,30.3,28.0,24.6,25.2,85,96,0.0,220.0,False,42.0,False,50.8
2000-09-02,9,1004.9,29.2,27.1,24.7,25.4,91,92,0.0,200.0,False,20.0,False,93.9
2000-09-03,9,1007.0,29.2,27.8,26.6,25.4,87,77,7.7,80.0,False,15.0,False,0.3
2000-09-04,9,1006.1,31.2,28.6,26.5,24.9,81,54,10.1,40.0,False,10.0,False,0.0
2000-09-05,9,1003.2,32.2,29.2,26.9,24.6,77,70,6.0,210.0,False,7.0,False,0.0
2000-09-06,9,1003.8,30.9,28.9,27.0,23.9,75,70,9.6,70.0,False,25.0,False,0.05
2000-09-07,9,1005.7,30.8,28.6,27.1,22.1,68,64,6.4,60.0,False,36.0,False,0.05
2000-09-08,9,1007.1,28.6,27.5,25.0,22.0,73,88,1.7,70.0,False,60.0,False,1.7
2000-09-09,9,1008.6,29.1,27.5,25.6,22.0,72,77,7.7,70.0,False,36.0,False,0.8
